,COUNT,Star,Year,University,POS
1518,6,3 Star,2020,Notre Dame,DEFENSE
1519,4,3 Star,2020,Notre Dame,OFFENSE
1520,2,3 Star,2020,Notre Dame,SPECIAL
1521,2,4 Star,2020,Notre Dame,DEFENSE
1522,6,4 Star,2020,Notre Dame,OFFENSE
1523,1,5 Star,2020,Notre Dame,OFFENSE
1524,8,3 Star,2021,Notre Dame,DEFENSE
1525,6,3 Star,2021,Notre Dame,OFFENSE
1526,2,3 Star,2021,Notre Dame,SPECIAL
1527,5,4 Star,2021,Notre Dame,DEFENSE
1528,10,4 Star,2021,Notre Dame,OFFENSE
1529,3,3 Star,2022,Notre Dame,DEFENSE
1530,1,3 Star,2022,Notre Dame,OFFENSE
1531,1,3 Star,2022,Notre Dame,SPECIAL
1532,8,4 Star,2022,Notre Dame,DEFENSE
1533,9,4 Star,2022,Notre Dame,OFFENSE
1534,1,5 Star,2022,Notre Dame,DEFENSE
1535,2,2 Star,2019,Ohio,DEFENSE
1536,3,2 Star,2019,Ohio,OFFENSE
1537,1,2 Star,2019,Ohio,SPECIAL
1538,6,3 Star,2019,Ohio,DEFENSE
1539,8,3 Star,2019,Ohio,OFFENSE
1540,2,2 Star,2020,Ohio,OFFENSE
1541,1,2 Star,2020,Ohio,SPECIAL
1542,5,3 Star,2020,Ohio,DEFENSE
1543,7,3 Star,2020,Ohio,OFFENSE
1544,1,3 Star,2020,Ohio,SPECIAL
1545,2,2 Star,2021,Ohio,DEFENSE
1546,1,2 Star,2021,Ohio,OFFENSE
1547,5,3 Star,2021,Ohio,DEFENSE
1548,9,3 Star,2021,Ohio,OFFENSE
1549,1,3 Star,2021,Ohio,SPECIAL
1550,2,3 Star,2022,Ohio,DEFENSE
1551,4,3 Star,2022,Ohio,OFFENSE
1552,2,3 Star,2019,Ohio St.,DEFENSE
1553,4,3 Star,2019,Ohio St.,OFFENSE
1554,1,3 Star,2019,Ohio St.,SPECIAL
1555,4,4 Star,2019,Ohio St.,DEFENSE
1556,5,4 Star,2019,Ohio St.,OFFENSE
1557,1,4 Star,2019,Ohio St.,SPECIAL
1558,1,5 Star,2019,Ohio St.,DEFENSE
1559,3,5 Star,2019,Ohio St.,OFFENSE
1560,1,2 Star,2020,Ohio St.,OFFENSE
1561,1,3 Star,2020,Ohio St.,DEFENSE
1562,6,3 Star,2020,Ohio St.,OFFENSE
1563,1,3 Star,2020,Ohio St.,SPECIAL
1564,8,4 Star,2020,Ohio St.,DEFENSE
1565,6,4 Star,2020,Ohio St.,OFFENSE
1566,1,4 Star,2020,Ohio St.,SPECIAL
1567,3,5 Star,2020,Ohio St.,OFFENSE
1568,1,2 Star,2021,Ohio St.,SPECIAL
1569,1,3 Star,2021,Ohio St.,DEFENSE
1570,1,3 Star,2021,Ohio St.,OFFENSE
1571,1,3 Star,2021,Ohio St.,SPECIAL
1572,7,4 Star,2021,Ohio St.,DEFENSE
1573,5,4 Star,2021,Ohio St.,OFFENSE
1574,1,4 Star,2021,Ohio St.,SPECIAL
1575,2,5 Star,2021,Ohio St.,DEFENSE
1576,5,5 Star,2021,Ohio St.,OFFENSE
1577,1,3 Star,2022,Ohio St.,DEFENSE
1578,2,3 Star,2022,Ohio St.,OFFENSE
1579,1,3 Star,2022,Ohio St.,SPECIAL
1580,8,4 Star,2022,Ohio St.,DEFENSE
1581,9,4 Star,2022,Ohio St.,OFFENSE
1582,1,4 Star,2022,Ohio St.,SPECIAL
1583,2,5 Star,2022,Ohio St.,DEFENSE
1584,1,2 Star,2019,Oklahoma,OFFENSE
1585,4,3 Star,2019,Oklahoma,DEFENSE
1586,6,3 Star,2019,Oklahoma,OFFENSE
1587,1,3 Star,2019,Oklahoma,SPECIAL
1588,8,4 Star,2019,Oklahoma,DEFENSE
1589,6,4 Star,2019,Oklahoma,OFFENSE
1590,3,5 Star,2019,Oklahoma,OFFENSE
1591,1,2 Star,2020,Oklahoma,OFFENSE
1592,4,3 Star,2020,Oklahoma,DEFENSE
1593,5,3 Star,2020,Oklahoma,OFFENSE
1594,1,3 Star,2020,Oklahoma,SPECIAL
1595,6,4 Star,2020,Oklahoma,DEFENSE
1596,9,4 Star,2020,Oklahoma,OFFENSE
1597,1,4 Star,2020,Oklahoma,SPECIAL
1598,2,3 Star,2021,Oklahoma,DEFENSE
1599,5,3 Star,2021,Oklahoma,OFFENSE
1600,8,4 Star,2021,Oklahoma,DEFENSE
1601,6,4 Star,2021,Oklahoma,OFFENSE
1602,1,4 Star,2021,Oklahoma,SPECIAL
1603,1,5 Star,2021,Oklahoma,OFFENSE
1604,9,3 Star,2022,Oklahoma,DEFENSE
1605,3,3 Star,2022,Oklahoma,OFFENSE
1606,2,3 Star,2022,Oklahoma,SPECIAL
1607,8,4 Star,2022,Oklahoma,DEFENSE
1608,10,4 Star,2022,Oklahoma,OFFENSE
1609,1,4 Star,2022,Oklahoma,SPECIAL
1610,2,2 Star,2019,Oklahoma St.,DEFENSE
1611,1,2 Star,2019,Oklahoma St.,OFFENSE
1612,12,3 Star,2019,Oklahoma St.,DEFENSE
1613,8,3 Star,2019,Oklahoma St.,OFFENSE
1614,2,3 Star,2019,Oklahoma St.,SPECIAL
1615,3,4 Star,2019,Oklahoma St.,OFFENSE
1616,12,3 Star,2020,Oklahoma St.,DEFENSE
1617,11,3 Star,2020,Oklahoma St.,OFFENSE
1618,2,3 Star,2020,Oklahoma St.,SPECIAL
1619,1,4 Star,2020,Oklahoma St.,DEFENSE
1620,2,4 Star,2020,Oklahoma St.,OFFENSE
1621,9,3 Star,2021,Oklahoma St.,DEFENSE
1622,12,3 Star,2021,Oklahoma St.,OFFENSE
1623,3,3 Star,2021,Oklahoma St.,SPECIAL
1624,2,4 Star,2021,Oklahoma St.,DEFENSE
1625,9,3 Star,2022,Oklahoma St.,DEFENSE
1626,8,3 Star,2022,Oklahoma St.,OFFENSE
1627,5,4 Star,2022,Oklahoma St.,OFFENSE
1628,1,4 Star,2022,Oklahoma St.,SPECIAL
1629,13,2 Star,2019,Old Dominion,DEFENSE
1630,8,2 Star,2019,Old Dominion,OFFENSE
1631,3,2 Star,2019,Old Dominion,SPECIAL
1632,7,3 Star,2019,Old Dominion,DEFENSE
1633,6,3 Star,2019,Old Dominion,OFFENSE
1634,1,4 Star,2019,Old Dominion,DEFENSE
1635,3,2 Star,2020,Old Dominion,OFFENSE
1636,1,2 Star,2020,Old Dominion,SPECIAL
1637,11,3 Star,2020,Old Dominion,DEFENSE
1638,6,3 Star,2020,Old Dominion,OFFENSE
1639,2,3 Star,2020,Old Dominion,SPECIAL
1640,1,4 Star,2020,Old Dominion,OFFENSE
1641,2,2 Star,2021,Old Dominion,DEFENSE
1642,1,2 Star,2021,Old Dominion,SPECIAL
1643,8,3 Star,2021,Old Dominion,DEFENSE
1644,14,3 Star,2021,Old Dominion,OFFENSE
1645,1,4 Star,2021,Old Dominion,OFFENSE
1646,5,3 Star,2022,Old Dominion,DEFENSE
1647,9,3 Star,2022,Old Dominion,OFFENSE
1648,1,3 Star,2022,Old Dominion,SPECIAL
1649,11,3 Star,2019,Ole Miss,DEFENSE
1650,12,3 Star,2019,Ole Miss,OFFENSE
1651,1,3 Star,2019,Ole Miss,SPECIAL
1652,2,4 Star,2019,Ole Miss,DEFENSE
1653,5,4 Star,2019,Ole Miss,OFFENSE
1654,1,5 Star,2019,Ole Miss,OFFENSE
1655,1,2 Star,2020,Ole Miss,DEFENSE
1656,8,3 Star,2020,Ole Miss,DEFENSE
1657,11,3 Star,2020,Ole Miss,OFFENSE
1658,2,4 Star,2020,Ole Miss,DEFENSE
1659,2,4 Star,2020,Ole Miss,OFFENSE
1660,1,4 Star,2020,Ole Miss,SPECIAL
1661,9,3 Star,2021,Ole Miss,DEFENSE
1662,9,3 Star,2021,Ole Miss,OFFENSE
1663,3,3 Star,2021,Ole Miss,SPECIAL
1664,5,4 Star,2021,Ole Miss,DEFENSE
1665,3,4 Star,2021,Ole Miss,OFFENSE
1666,5,3 Star,2022,Ole Miss,DEFENSE
1667,10,3 Star,2022,Ole Miss,OFFENSE
1668,1,3 Star,2022,Ole Miss,SPECIAL
1669,8,4 Star,2022,Ole Miss,DEFENSE
1670,7,4 Star,2022,Ole Miss,OFFENSE
1671,1,5 Star,2022,Ole Miss,OFFENSE
1672,1,2 Star,2019,Oregon,OFFENSE
1673,9,3 Star,2019,Oregon,DEFENSE
1674,4,3 Star,2019,Oregon,OFFENSE
1675,2,3 Star,2019,Oregon,SPECIAL
1676,4,4 Star,2019,Oregon,DEFENSE
1677,7,4 Star,2019,Oregon,OFFENSE
1678,1,5 Star,2019,Oregon,DEFENSE
1679,1,2 Star,2020,Oregon,DEFENSE
1680,8,3 Star,2020,Oregon,DEFENSE
1681,7,3 Star,2020,Oregon,OFFENSE
1682,2,4 Star,2020,Oregon,DEFENSE
1683,4,4 Star,2020,Oregon,OFFENSE
1684,1,4 Star,2020,Oregon,SPECIAL
1685,3,5 Star,2020,Oregon,DEFENSE
1686,4,3 Star,2021,Oregon,DEFENSE
1687,7,4 Star,2021,Oregon,DEFENSE
1688,13,4 Star,2021,Oregon,OFFENSE
1689,7,3 Star,2022,Oregon,DEFENSE
1690,5,3 Star,2022,Oregon,OFFENSE
1691,3,3 Star,2022,Oregon,SPECIAL
1692,6,4 Star,2022,Oregon,DEFENSE
1693,4,4 Star,2022,Oregon,OFFENSE
1694,1,5 Star,2022,Oregon,OFFENSE
1695,1,2 Star,2019,Oregon St.,DEFENSE
1696,1,2 Star,2019,Oregon St.,OFFENSE
1697,1,2 Star,2019,Oregon St.,SPECIAL
1698,17,3 Star,2019,Oregon St.,DEFENSE
1699,9,3 Star,2019,Oregon St.,OFFENSE
1700,3,3 Star,2019,Oregon St.,SPECIAL
1701,1,4 Star,2019,Oregon St.,DEFENSE
1702,1,2 Star,2020,Oregon St.,DEFENSE
1703,10,3 Star,2020,Oregon St.,DEFENSE
1704,12,3 Star,2020,Oregon St.,OFFENSE
1705,2,3 Star,2020,Oregon St.,SPECIAL
1706,1,2 Star,2021,Oregon St.,OFFENSE
1707,5,3 Star,2021,Oregon St.,DEFENSE
1708,10,3 Star,2021,Oregon St.,OFFENSE
1709,1,3 Star,2021,Oregon St.,SPECIAL
1710,1,4 Star,2021,Oregon St.,DEFENSE
1711,7,3 Star,2022,Oregon St.,DEFENSE
1712,9,3 Star,2022,Oregon St.,OFFENSE
1713,1,3 Star,2022,Oregon St.,SPECIAL
1714,1,2 Star,2019,Penn St.,DEFENSE
1715,4,3 Star,2019,Penn St.,DEFENSE
1716,2,3 Star,2019,Penn St.,OFFENSE
1717,9,4 Star,2019,Penn St.,DEFENSE
1718,9,4 Star,2019,Penn St.,OFFENSE
1719,1,5 Star,2019,Penn St.,DEFENSE
1720,7,3 Star,2020,Penn St.,DEFENSE
1721,9,3 Star,2020,Penn St.,OFFENSE
1722,5,4 Star,2020,Penn St.,DEFENSE
1723,6,4 Star,2020,Penn St.,OFFENSE
1724,8,3 Star,2021,Penn St.,DEFENSE
1725,7,3 Star,2021,Penn St.,OFFENSE
1726,1,3 Star,2021,Penn St.,SPECIAL
1727,4,4 Star,2021,Penn St.,DEFENSE
1728,2,4 Star,2021,Penn St.,OFFENSE
1729,3,3 Star,2022,Penn St.,DEFENSE
1730,6,3 Star,2022,Penn St.,OFFENSE
1731,1,3 Star,2022,Penn St.,SPECIAL
1732,7,4 Star,2022,Penn St.,DEFENSE
1733,7,4 Star,2022,Penn St.,OFFENSE
1734,1,4 Star,2022,Penn St.,SPECIAL
1735,1,5 Star,2022,Penn St.,DEFENSE
1736,2,5 Star,2022,Penn St.,OFFENSE
1737,1,2 Star,2019,Pittsburgh,DEFENSE
1738,10,3 Star,2019,Pittsburgh,DEFENSE
1739,10,3 Star,2019,Pittsburgh,OFFENSE
1740,2,3 Star,2019,Pittsburgh,SPECIAL
1741,2,2 Star,2020,Pittsburgh,SPECIAL
1742,10,3 Star,2020,Pittsburgh,DEFENSE
1743,8,3 Star,2020,Pittsburgh,OFFENSE
1744,1,4 Star,2020,Pittsburgh,DEFENSE
1745,1,4 Star,2020,Pittsburgh,SPECIAL
1746,9,3 Star,2021,Pittsburgh,DEFENSE
1747,12,3 Star,2021,Pittsburgh,OFFENSE
1748,2,3 Star,2021,Pittsburgh,SPECIAL
1749,3,4 Star,2021,Pittsburgh,DEFENSE
1750,6,3 Star,2022,Pittsburgh,DEFENSE
1751,7,3 Star,2022,Pittsburgh,OFFENSE
1752,2,3 Star,2022,Pittsburgh,SPECIAL
1753,2,4 Star,2022,Pittsburgh,OFFENSE
1754,1,2 Star,2019,Purdue,OFFENSE
1755,9,3 Star,2019,Purdue,DEFENSE
1756,10,3 Star,2019,Purdue,OFFENSE
1757,3,3 Star,2019,Purdue,SPECIAL
1758,2,4 Star,2019,Purdue,DEFENSE
1759,2,4 Star,2019,Purdue,OFFENSE
1760,2,2 Star,2020,Purdue,DEFENSE
1761,1,2 Star,2020,Purdue,OFFENSE
1762,11,3 Star,2020,Purdue,DEFENSE
1763,6,3 Star,2020,Purdue,OFFENSE
1764,1,3 Star,2020,Purdue,SPECIAL
1765,5,4 Star,2020,Purdue,OFFENSE
1766,1,2 Star,2021,Purdue,OFFENSE
1767,9,3 Star,2021,Purdue,DEFENSE
1768,9,3 Star,2021,Purdue,OFFENSE
1769,1,3 Star,2021,Purdue,SPECIAL
1770,1,4 Star,2021,Purdue,DEFENSE
1771,1,4 Star,2021,Purdue,OFFENSE
1772,1,2 Star,2022,Purdue,DEFENSE
1773,7,3 Star,2022,Purdue,DEFENSE
1774,13,3 Star,2022,Purdue,OFFENSE
1775,2,3 Star,2022,Purdue,SPECIAL
1776,2,4 Star,2022,Purdue,DEFENSE
1777,2,4 Star,2022,Purdue,OFFENSE
1778,9,2 Star,2019,Rice,DEFENSE
1779,7,2 Star,2019,Rice,OFFENSE
1780,2,2 Star,2019,Rice,SPECIAL
1781,4,3 Star,2019,Rice,DEFENSE
1782,8,3 Star,2019,Rice,OFFENSE
1783,1,3 Star,2019,Rice,SPECIAL
1784,1,2 Star,2020,Rice,DEFENSE
1785,1,2 Star,2020,Rice,OFFENSE
1786,8,3 Star,2020,Rice,DEFENSE
1787,8,3 Star,2020,Rice,OFFENSE
1788,5,3 Star,2020,Rice,SPECIAL
1789,2,2 Star,2021,Rice,DEFENSE
1790,9,3 Star,2021,Rice,DEFENSE
1791,10,3 Star,2021,Rice,OFFENSE
1792,1,3 Star,2021,Rice,SPECIAL
1793,1,2 Star,2022,Rice,OFFENSE
1794,6,3 Star,2022,Rice,DEFENSE
1795,6,3 Star,2022,Rice,OFFENSE
1796,1,3 Star,2022,Rice,SPECIAL
1797,10,3 Star,2019,Rutgers,DEFENSE
1798,14,3 Star,2019,Rutgers,OFFENSE
1799,1,3 Star,2019,Rutgers,SPECIAL
1800,1,4 Star,2019,Rutgers,DEFENSE
1801,1,2 Star,2020,Rutgers,OFFENSE
1802,15,3 Star,2020,Rutgers,DEFENSE
1803,12,3 Star,2020,Rutgers,OFFENSE
1804,4,3 Star,2020,Rutgers,SPECIAL
1805,1,2 Star,2021,Rutgers,DEFENSE
1806,1,2 Star,2021,Rutgers,SPECIAL
1807,10,3 Star,2021,Rutgers,DEFENSE
1808,9,3 Star,2021,Rutgers,OFFENSE
1809,3,3 Star,2021,Rutgers,SPECIAL
1810,2,4 Star,2021,Rutgers,DEFENSE
1811,1,4 Star,2021,Rutgers,OFFENSE
1812,6,3 Star,2022,Rutgers,DEFENSE
1813,13,3 Star,2022,Rutgers,OFFENSE
1814,2,4 Star,2022,Rutgers,DEFENSE
1815,4,4 Star,2022,Rutgers,OFFENSE
1816,3,2 Star,2019,SMU,DEFENSE
1817,2,2 Star,2019,SMU,OFFENSE
1818,10,3 Star,2019,SMU,DEFENSE
1819,14,3 Star,2019,SMU,OFFENSE
1820,2,3 Star,2019,SMU,SPECIAL
1821,2,4 Star,2019,SMU,DEFENSE
1822,1,4 Star,2019,SMU,OFFENSE
1823,1,2 Star,2020,SMU,DEFENSE
1824,10,3 Star,2020,SMU,DEFENSE
1825,10,3 Star,2020,SMU,OFFENSE
1826,1,4 Star,2020,SMU,OFFENSE
1827,11,3 Star,2021,SMU,DEFENSE
1828,12,3 Star,2021,SMU,OFFENSE
1829,1,3 Star,2021,SMU,SPECIAL
1830,2,4 Star,2021,SMU,DEFENSE
1831,2,4 Star,2021,SMU,OFFENSE
1832,9,3 Star,2022,SMU,DEFENSE
1833,10,3 Star,2022,SMU,OFFENSE
1834,2,4 Star,2022,SMU,OFFENSE
1840,4,2 Star,2019,San Diego St.,DEFENSE
1841,2,2 Star,2019,San Diego St.,OFFENSE
1842,1,2 Star,2019,San Diego St.,SPECIAL
1843,8,3 Star,2019,San Diego St.,DEFENSE
1844,11,3 Star,2019,San Diego St.,OFFENSE
1845,1,3 Star,2019,San Diego St.,SPECIAL
1846,1,2 Star,2020,San Diego St.,DEFENSE
1847,2,2 Star,2020,San Diego St.,OFFENSE
1848,8,3 Star,2020,San Diego St.,DEFENSE
1849,9,3 Star,2020,San Diego St.,OFFENSE
1850,1,3 Star,2020,San Diego St.,SPECIAL
1851,1,2 Star,2021,San Diego St.,SPECIAL
1852,12,3 Star,2021,San Diego St.,DEFENSE
1853,12,3 Star,2021,San Diego St.,OFFENSE
1854,2,4 Star,2021,San Diego St.,OFFENSE
1855,6,3 Star,2022,San Diego St.,DEFENSE
1856,12,3 Star,2022,San Diego St.,OFFENSE
1857,2,3 Star,2022,San Diego St.,SPECIAL
1858,4,2 Star,2019,San Jose St.,DEFENSE
1859,5,2 Star,2019,San Jose St.,OFFENSE
1860,4,3 Star,2019,San Jose St.,DEFENSE
1861,7,3 Star,2019,San Jose St.,OFFENSE
1862,2,3 Star,2019,San Jose St.,SPECIAL
1863,1,4 Star,2019,San Jose St.,DEFENSE
1864,5,2 Star,2020,San Jose St.,DEFENSE
1865,1,2 Star,2020,San Jose St.,OFFENSE
1866,9,3 Star,2020,San Jose St.,DEFENSE
1867,4,3 Star,2020,San Jose St.,OFFENSE
1868,2,3 Star,2020,San Jose St.,SPECIAL
1869,1,2 Star,2021,San Jose St.,DEFENSE
1870,3,2 Star,2021,San Jose St.,OFFENSE
1871,4,3 Star,2021,San Jose St.,DEFENSE
1872,8,3 Star,2021,San Jose St.,OFFENSE
1873,2,3 Star,2021,San Jose St.,SPECIAL
1874,1,4 Star,2021,San Jose St.,OFFENSE
1875,1,2 Star,2022,San Jose St.,DEFENSE
1876,1,2 Star,2022,San Jose St.,OFFENSE
1877,7,3 Star,2022,San Jose St.,DEFENSE
1878,11,3 Star,2022,San Jose St.,OFFENSE
1879,2,3 Star,2022,San Jose St.,SPECIAL
1880,7,2 Star,2019,South Alabama,DEFENSE
1881,12,2 Star,2019,South Alabama,OFFENSE
1882,4,2 Star,2019,South Alabama,SPECIAL
1883,3,3 Star,2019,South Alabama,DEFENSE
1884,4,3 Star,2019,South Alabama,OFFENSE
1885,1,3 Star,2019,South Alabama,SPECIAL
1886,1,2 Star,2020,South Alabama,DEFENSE
1887,1,2 Star,2020,South Alabama,OFFENSE
1888,11,3 Star,2020,South Alabama,DEFENSE
1889,11,3 Star,2020,South Alabama,OFFENSE
1890,3,3 Star,2020,South Alabama,SPECIAL
1891,2,2 Star,2021,South Alabama,OFFENSE
1892,9,3 Star,2021,South Alabama,DEFENSE
1893,9,3 Star,2021,South Alabama,OFFENSE
1894,2,3 Star,2021,South Alabama,SPECIAL
1895,1,4 Star,2021,South Alabama,DEFENSE
1896,1,2 Star,2022,South Alabama,OFFENSE
1897,11,3 Star,2022,South Alabama,DEFENSE
1898,10,3 Star,2022,South Alabama,OFFENSE
1899,1,2 Star,2019,South Carolina,SPECIAL
1900,8,3 Star,2019,South Carolina,DEFENSE
1901,9,3 Star,2019,South Carolina,OFFENSE
1902,1,3 Star,2019,South Carolina,SPECIAL
1903,2,4 Star,2019,South Carolina,DEFENSE
1904,2,4 Star,2019,South Carolina,OFFENSE
1905,1,4 Star,2019,South Carolina,SPECIAL
1906,1,5 Star,2019,South Carolina,DEFENSE
1907,2,2 Star,2020,South Carolina,DEFENSE
1908,6,3 Star,2020,South Carolina,DEFENSE
1909,9,3 Star,2020,South Carolina,OFFENSE
1910,3,3 Star,2020,South Carolina,SPECIAL
1911,3,4 Star,2020,South Carolina,DEFENSE
1912,5,4 Star,2020,South Carolina,OFFENSE
1913,1,4 Star,2020,South Carolina,SPECIAL
1914,1,5 Star,2020,South Carolina,DEFENSE
1915,11,3 Star,2021,South Carolina,DEFENSE
1916,10,3 Star,2021,South Carolina,OFFENSE
1917,1,4 Star,2021,South Carolina,DEFENSE
1918,12,3 Star,2022,South Carolina,DEFENSE
1919,10,3 Star,2022,South Carolina,OFFENSE
1920,1,3 Star,2022,South Carolina,SPECIAL
1921,3,4 Star,2022,South Carolina,DEFENSE
1922,5,4 Star,2022,South Carolina,OFFENSE
1923,1,2 Star,2019,Southern Miss.,DEFENSE
1924,2,2 Star,2019,Southern Miss.,OFFENSE
1925,5,2 Star,2019,Southern Miss.,SPECIAL
1926,4,3 Star,2019,Southern Miss.,DEFENSE
1927,16,3 Star,2019,Southern Miss.,OFFENSE
1928,2,3 Star,2019,Southern Miss.,SPECIAL
1929,15,3 Star,2020,Southern Miss.,DEFENSE
1930,12,3 Star,2020,Southern Miss.,OFFENSE
1931,1,3 Star,2020,Southern Miss.,SPECIAL
1932,1,2 Star,2021,Southern Miss.,OFFENSE
1933,8,3 Star,2021,Southern Miss.,DEFENSE
1934,7,3 Star,2021,Southern Miss.,OFFENSE
1935,2,3 Star,2021,Southern Miss.,SPECIAL
1936,15,3 Star,2022,Southern Miss.,DEFENSE
1937,13,3 Star,2022,Southern Miss.,OFFENSE
1938,1,2 Star,2019,Stanford,DEFENSE
1939,1,2 Star,2019,Stanford,OFFENSE
1940,6,3 Star,2019,Stanford,DEFENSE
1941,6,3 Star,2019,Stanford,OFFENSE
1942,2,3 Star,2019,Stanford,SPECIAL
1943,4,4 Star,2019,Stanford,DEFENSE
1944,4,4 Star,2019,Stanford,OFFENSE
1945,1,2 Star,2020,Stanford,DEFENSE
1946,1,2 Star,2020,Stanford,OFFENSE
1947,1,2 Star,2020,Stanford,SPECIAL
1948,8,3 Star,2020,Stanford,DEFENSE
1949,8,3 Star,2020,Stanford,OFFENSE
1950,3,3 Star,2020,Stanford,SPECIAL
1951,1,4 Star,2020,Stanford,DEFENSE
1952,5,4 Star,2020,Stanford,OFFENSE
1953,7,3 Star,2021,Stanford,DEFENSE
1954,8,3 Star,2021,Stanford,OFFENSE
1955,1,3 Star,2021,Stanford,SPECIAL
1956,3,4 Star,2021,Stanford,DEFENSE
1957,7,3 Star,2022,Stanford,DEFENSE
1958,7,3 Star,2022,Stanford,OFFENSE
1959,1,3 Star,2022,Stanford,SPECIAL
1960,4,4 Star,2022,Stanford,DEFENSE
1961,4,4 Star,2022,Stanford,OFFENSE
1962,12,3 Star,2019,Syracuse,DEFENSE
1963,8,3 Star,2019,Syracuse,OFFENSE
1964,1,3 Star,2019,Syracuse,SPECIAL
1965,1,2 Star,2020,Syracuse,DEFENSE
1966,2,2 Star,2020,Syracuse,OFFENSE
1967,10,3 Star,2020,Syracuse,DEFENSE
1968,10,3 Star,2020,Syracuse,OFFENSE
1969,4,3 Star,2020,Syracuse,SPECIAL
1970,9,3 Star,2021,Syracuse,DEFENSE
1971,14,3 Star,2021,Syracuse,OFFENSE
1972,12,3 Star,2022,Syracuse,DEFENSE
1973,6,3 Star,2022,Syracuse,OFFENSE
1974,2,3 Star,2022,Syracuse,SPECIAL
1975,1,4 Star,2022,Syracuse,OFFENSE
1976,1,2 Star,2019,TCU,OFFENSE
1977,15,3 Star,2019,TCU,DEFENSE
1978,7,3 Star,2019,TCU,OFFENSE
1979,3,3 Star,2019,TCU,SPECIAL
1980,2,4 Star,2019,TCU,DEFENSE
1981,3,4 Star,2019,TCU,OFFENSE
1982,3,3 Star,2020,TCU,DEFENSE
1983,12,3 Star,2020,TCU,OFFENSE
1984,1,3 Star,2020,TCU,SPECIAL
1985,4,4 Star,2020,TCU,DEFENSE
1986,3,4 Star,2020,TCU,OFFENSE
1987,1,5 Star,2020,TCU,DEFENSE
1988,1,5 Star,2020,TCU,OFFENSE
1989,7,3 Star,2021,TCU,DEFENSE
1990,9,3 Star,2021,TCU,OFFENSE
1991,1,4 Star,2021,TCU,DEFENSE
1992,3,4 Star,2021,TCU,OFFENSE
1993,14,3 Star,2022,TCU,DEFENSE
1994,6,3 Star,2022,TCU,OFFENSE
1995,1,4 Star,2022,TCU,DEFENSE
1996,5,4 Star,2022,TCU,OFFENSE
1997,1,2 Star,2019,Temple,DEFENSE
1998,1,2 Star,2019,Temple,OFFENSE
1999,6,3 Star,2019,Temple,DEFENSE
2000,10,3 Star,2019,Temple,OFFENSE
2001,3,3 Star,2019,Temple,SPECIAL
2002,1,2 Star,2020,Temple,OFFENSE
2003,13,3 Star,2020,Temple,DEFENSE
2004,10,3 Star,2020,Temple,OFFENSE
2005,2,3 Star,2020,Temple,SPECIAL
2006,1,2 Star,2021,Temple,DEFENSE
2007,10,3 Star,2021,Temple,DEFENSE
2008,10,3 Star,2021,Temple,OFFENSE
2009,1,3 Star,2021,Temple,SPECIAL
2010,2,2 Star,2022,Temple,OFFENSE
2011,9,3 Star,2022,Temple,DEFENSE
2012,6,3 Star,2022,Temple,OFFENSE
2013,1,3 Star,2022,Temple,SPECIAL
2014,1,2 Star,2019,Tennessee,OFFENSE
2015,6,3 Star,2019,Tennessee,DEFENSE
2016,7,3 Star,2019,Tennessee,OFFENSE
2017,1,3 Star,2019,Tennessee,SPECIAL
2018,6,4 Star,2019,Tennessee,DEFENSE
2019,4,4 Star,2019,Tennessee,OFFENSE
2020,1,4 Star,2019,Tennessee,SPECIAL
2021,2,5 Star,2019,Tennessee,OFFENSE
2022,1,2 Star,2020,Tennessee,OFFENSE
2023,2,2 Star,2020,Tennessee,SPECIAL
2024,3,3 Star,2020,Tennessee,DEFENSE
2025,5,3 Star,2020,Tennessee,OFFENSE
2026,2,3 Star,2020,Tennessee,SPECIAL
2027,8,4 Star,2020,Tennessee,DEFENSE
2028,6,4 Star,2020,Tennessee,OFFENSE
2029,8,3 Star,2021,Tennessee,DEFENSE
2030,9,3 Star,2021,Tennessee,OFFENSE
2031,3,3 Star,2021,Tennessee,SPECIAL
2032,2,4 Star,2021,Tennessee,DEFENSE
2033,4,4 Star,2021,Tennessee,OFFENSE
2034,1,4 Star,2021,Tennessee,SPECIAL
2035,10,3 Star,2022,Tennessee,DEFENSE
2036,10,3 Star,2022,Tennessee,OFFENSE
2037,3,4 Star,2022,Tennessee,DEFENSE
2038,5,4 Star,2022,Tennessee,OFFENSE
2039,3,2 Star,2019,Texas,DEFENSE
2040,1,2 Star,2019,Texas,OFFENSE
2041,7,3 Star,2019,Texas,DEFENSE
2042,4,3 Star,2019,Texas,OFFENSE
2043,7,4 Star,2019,Texas,DEFENSE
2044,9,4 Star,2019,Texas,OFFENSE
2045,1,4 Star,2019,Texas,SPECIAL
2046,1,5 Star,2019,Texas,SPECIAL
2047,2,3 Star,2020,Texas,DEFENSE
2048,2,3 Star,2020,Texas,OFFENSE
2049,1,3 Star,2020,Texas,SPECIAL
2050,8,4 Star,2020,Texas,DEFENSE
2051,8,4 Star,2020,Texas,OFFENSE
2052,1,4 Star,2020,Texas,SPECIAL
2053,1,5 Star,2020,Texas,OFFENSE
2054,8,3 Star,2021,Texas,DEFENSE
2055,9,3 Star,2021,Texas,OFFENSE
2056,2,3 Star,2021,Texas,SPECIAL
2057,8,4 Star,2021,Texas,DEFENSE
2058,3,4 Star,2021,Texas,OFFENSE
2059,1,5 Star,2021,Texas,SPECIAL
