field1,COUNT,Star,Year,University,POS
723,1,2 Star,2022,Georgia St.,DEFENSE
724,3,2 Star,2022,Georgia St.,OFFENSE
725,7,3 Star,2022,Georgia St.,DEFENSE
726,3,3 Star,2022,Georgia St.,OFFENSE
727,1,3 Star,2022,Georgia St.,SPECIAL
741,7,3 Star,2022,Georgia Tech,DEFENSE
742,13,3 Star,2022,Georgia Tech,OFFENSE
743,1,3 Star,2022,Georgia Tech,SPECIAL
744,2,4 Star,2022,Georgia Tech,DEFENSE
745,2,4 Star,2022,Georgia Tech,OFFENSE
762,1,2 Star,2022,Hawaii,OFFENSE
763,9,3 Star,2022,Hawaii,DEFENSE
764,5,3 Star,2022,Hawaii,OFFENSE
765,2,4 Star,2022,Hawaii,DEFENSE
766,1,4 Star,2022,Hawaii,OFFENSE
781,1,2 Star,2022,Houston,OFFENSE
782,7,3 Star,2022,Houston,DEFENSE
783,13,3 Star,2022,Houston,OFFENSE
784,1,3 Star,2022,Houston,SPECIAL
785,1,4 Star,2022,Houston,DEFENSE
786,2,4 Star,2022,Houston,OFFENSE
800,10,3 Star,2022,Illinois,DEFENSE
801,17,3 Star,2022,Illinois,OFFENSE
802,2,3 Star,2022,Illinois,SPECIAL
823,14,3 Star,2022,Indiana,DEFENSE
824,11,3 Star,2022,Indiana,OFFENSE
825,1,3 Star,2022,Indiana,SPECIAL
826,3,4 Star,2022,Indiana,DEFENSE
827,3,4 Star,2022,Indiana,OFFENSE
828,1,4 Star,2022,Indiana,SPECIAL
848,7,3 Star,2022,Iowa,DEFENSE
849,8,3 Star,2022,Iowa,OFFENSE
850,2,3 Star,2022,Iowa,SPECIAL
851,2,4 Star,2022,Iowa,DEFENSE
866,10,3 Star,2022,Iowa St.,DEFENSE
867,9,3 Star,2022,Iowa St.,OFFENSE
868,3,3 Star,2022,Iowa St.,SPECIAL
869,1,4 Star,2022,Iowa St.,DEFENSE
870,1,4 Star,2022,Iowa St.,OFFENSE
873,2,3 Star,2022,James Madison,DEFENSE
874,3,3 Star,2022,James Madison,OFFENSE
888,6,3 Star,2022,Kansas,DEFENSE
889,8,3 Star,2022,Kansas,OFFENSE
890,1,3 Star,2022,Kansas,SPECIAL
905,10,3 Star,2022,Kansas St.,DEFENSE
906,8,3 Star,2022,Kansas St.,OFFENSE
907,2,3 Star,2022,Kansas St.,SPECIAL
908,1,4 Star,2022,Kansas St.,DEFENSE
909,1,4 Star,2022,Kansas St.,OFFENSE
925,1,2 Star,2022,Kent St.,DEFENSE
926,2,2 Star,2022,Kent St.,OFFENSE
927,5,3 Star,2022,Kent St.,DEFENSE
928,13,3 Star,2022,Kent St.,OFFENSE
944,6,3 Star,2022,Kentucky,DEFENSE
945,5,3 Star,2022,Kentucky,OFFENSE
946,2,3 Star,2022,Kentucky,SPECIAL
947,5,4 Star,2022,Kentucky,DEFENSE
948,5,4 Star,2022,Kentucky,OFFENSE
949,3,4 Star,2022,Kentucky,SPECIAL
972,1,2 Star,2022,LSU,SPECIAL
973,6,3 Star,2022,LSU,DEFENSE
974,3,3 Star,2022,LSU,OFFENSE
975,3,3 Star,2022,LSU,SPECIAL
976,8,4 Star,2022,LSU,DEFENSE
977,8,4 Star,2022,LSU,OFFENSE
978,1,5 Star,2022,LSU,DEFENSE
992,1,2 Star,2022,Liberty,OFFENSE
993,10,3 Star,2022,Liberty,DEFENSE
994,9,3 Star,2022,Liberty,OFFENSE
995,1,3 Star,2022,Liberty,SPECIAL
1012,4,3 Star,2022,Louisiana,DEFENSE
1013,7,3 Star,2022,Louisiana,OFFENSE
1027,6,3 Star,2022,Louisiana Tech,DEFENSE
1028,10,3 Star,2022,Louisiana Tech,OFFENSE
1029,1,3 Star,2022,Louisiana Tech,SPECIAL
1030,1,4 Star,2022,Louisiana Tech,OFFENSE
1044,1,2 Star,2022,ULM,DEFENSE
1045,2,2 Star,2022,ULM,OFFENSE
1046,2,3 Star,2022,ULM,DEFENSE
1047,3,3 Star,2022,ULM,OFFENSE
1060,1,2 Star,2022,Louisville,DEFENSE
1061,10,3 Star,2022,Louisville,DEFENSE
1062,10,3 Star,2022,Louisville,OFFENSE
1063,2,4 Star,2022,Louisville,DEFENSE
1064,3,4 Star,2022,Louisville,OFFENSE
1082,1,2 Star,2022,Marshall,DEFENSE
1083,14,3 Star,2022,Marshall,DEFENSE
1084,19,3 Star,2022,Marshall,OFFENSE
1085,1,3 Star,2022,Marshall,SPECIAL
1086,1,5 Star,2022,Marshall,OFFENSE
1104,6,3 Star,2022,Maryland,DEFENSE
1105,8,3 Star,2022,Maryland,OFFENSE
1106,3,3 Star,2022,Maryland,SPECIAL
1107,1,4 Star,2022,Maryland,DEFENSE
1108,3,4 Star,2022,Maryland,OFFENSE
1109,1,4 Star,2022,Maryland,SPECIAL
1127,4,2 Star,2022,Massachusetts,DEFENSE
1128,2,2 Star,2022,Massachusetts,OFFENSE
1129,2,2 Star,2022,Massachusetts,SPECIAL
1130,11,3 Star,2022,Massachusetts,DEFENSE
1131,5,3 Star,2022,Massachusetts,OFFENSE
1132,1,3 Star,2022,Massachusetts,SPECIAL
1149,1,2 Star,2022,Memphis,DEFENSE
1150,13,3 Star,2022,Memphis,DEFENSE
1151,10,3 Star,2022,Memphis,OFFENSE
1152,1,4 Star,2022,Memphis,OFFENSE
1172,7,3 Star,2022,Miami (FL),DEFENSE
1173,5,3 Star,2022,Miami (FL),OFFENSE
1174,7,4 Star,2022,Miami (FL),DEFENSE
1175,5,4 Star,2022,Miami (FL),OFFENSE
1176,1,4 Star,2022,Miami (FL),SPECIAL
1194,12,3 Star,2022,Miami (OH),DEFENSE
1195,9,3 Star,2022,Miami (OH),OFFENSE
1196,2,3 Star,2022,Miami (OH),SPECIAL
1216,7,3 Star,2022,Michigan,DEFENSE
1217,7,3 Star,2022,Michigan,OFFENSE
1218,5,4 Star,2022,Michigan,DEFENSE
1219,4,4 Star,2022,Michigan,OFFENSE
1220,1,4 Star,2022,Michigan,SPECIAL
1221,1,5 Star,2022,Michigan,DEFENSE
1236,1,2 Star,2022,Michigan St.,OFFENSE
1237,10,3 Star,2022,Michigan St.,DEFENSE
1238,8,3 Star,2022,Michigan St.,OFFENSE
1239,1,3 Star,2022,Michigan St.,SPECIAL
1240,4,4 Star,2022,Michigan St.,DEFENSE
1241,6,4 Star,2022,Michigan St.,OFFENSE
1242,2,4 Star,2022,Michigan St.,SPECIAL
1258,1,3 Star,2022,Middle Tenn.,DEFENSE
1259,10,3 Star,2022,Middle Tenn.,OFFENSE
1260,1,3 Star,2022,Middle Tenn.,SPECIAL
1277,10,3 Star,2022,Minnesota,DEFENSE
1278,11,3 Star,2022,Minnesota,OFFENSE
1279,1,3 Star,2022,Minnesota,SPECIAL
1280,2,4 Star,2022,Minnesota,DEFENSE
1300,2,2 Star,2022,Mississippi St.,SPECIAL
1301,9,3 Star,2022,Mississippi St.,DEFENSE
1302,11,3 Star,2022,Mississippi St.,OFFENSE
1303,2,3 Star,2022,Mississippi St.,SPECIAL
1304,4,4 Star,2022,Mississippi St.,DEFENSE
1305,1,4 Star,2022,Mississippi St.,OFFENSE
1321,8,3 Star,2022,Missouri,DEFENSE
1322,8,3 Star,2022,Missouri,OFFENSE
1323,5,4 Star,2022,Missouri,DEFENSE
1324,4,4 Star,2022,Missouri,OFFENSE
1325,1,5 Star,2022,Missouri,OFFENSE
1343,6,3 Star,2022,NC State,DEFENSE
1344,5,3 Star,2022,NC State,OFFENSE
1345,1,4 Star,2022,NC State,DEFENSE
1346,1,4 Star,2022,NC State,OFFENSE
1364,1,2 Star,2022,Nebraska,SPECIAL
1365,7,3 Star,2022,Nebraska,DEFENSE
1366,14,3 Star,2022,Nebraska,OFFENSE
1367,4,4 Star,2022,Nebraska,DEFENSE
1368,2,4 Star,2022,Nebraska,OFFENSE
1386,1,2 Star,2022,Nevada,DEFENSE
1387,2,2 Star,2022,Nevada,OFFENSE
1388,6,3 Star,2022,Nevada,DEFENSE
1389,5,3 Star,2022,Nevada,OFFENSE
1390,1,3 Star,2022,Nevada,SPECIAL
1391,1,4 Star,2022,Nevada,DEFENSE
1392,1,4 Star,2022,Nevada,OFFENSE
1408,2,2 Star,2022,New Mexico,DEFENSE
1409,6,2 Star,2022,New Mexico,OFFENSE
1410,1,2 Star,2022,New Mexico,SPECIAL
1411,7,3 Star,2022,New Mexico,DEFENSE
1412,6,3 Star,2022,New Mexico,OFFENSE
1413,1,3 Star,2022,New Mexico,SPECIAL
1429,2,2 Star,2022,New Mexico St.,DEFENSE
1430,3,2 Star,2022,New Mexico St.,OFFENSE
1431,1,2 Star,2022,New Mexico St.,SPECIAL
1432,7,3 Star,2022,New Mexico St.,DEFENSE
1433,8,3 Star,2022,New Mexico St.,OFFENSE
1434,1,3 Star,2022,New Mexico St.,SPECIAL
1453,4,3 Star,2022,North Carolina,DEFENSE
1454,5,3 Star,2022,North Carolina,OFFENSE
1455,1,3 Star,2022,North Carolina,SPECIAL
1456,6,4 Star,2022,North Carolina,DEFENSE
1457,4,4 Star,2022,North Carolina,OFFENSE
1458,1,5 Star,2022,North Carolina,DEFENSE
1459,1,5 Star,2022,North Carolina,OFFENSE
1471,1,2 Star,2022,North Texas,DEFENSE
1472,7,3 Star,2022,North Texas,DEFENSE
1473,8,3 Star,2022,North Texas,OFFENSE
1489,1,2 Star,2022,NIU,DEFENSE
1490,2,2 Star,2022,NIU,OFFENSE
1491,2,2 Star,2022,NIU,SPECIAL
1492,10,3 Star,2022,NIU,DEFENSE
1493,6,3 Star,2022,NIU,OFFENSE
1494,2,3 Star,2022,NIU,SPECIAL
1508,10,3 Star,2022,Northwestern,DEFENSE
1509,5,3 Star,2022,Northwestern,OFFENSE
1510,3,3 Star,2022,Northwestern,SPECIAL
1511,1,4 Star,2022,Northwestern,DEFENSE
1512,1,4 Star,2022,Northwestern,OFFENSE
1529,3,3 Star,2022,Notre Dame,DEFENSE
1530,1,3 Star,2022,Notre Dame,OFFENSE
1531,1,3 Star,2022,Notre Dame,SPECIAL
1532,8,4 Star,2022,Notre Dame,DEFENSE
1533,9,4 Star,2022,Notre Dame,OFFENSE
1534,1,5 Star,2022,Notre Dame,DEFENSE
1550,2,3 Star,2022,Ohio,DEFENSE
1551,4,3 Star,2022,Ohio,OFFENSE
1577,1,3 Star,2022,Ohio St.,DEFENSE
1578,2,3 Star,2022,Ohio St.,OFFENSE
1579,1,3 Star,2022,Ohio St.,SPECIAL
1580,8,4 Star,2022,Ohio St.,DEFENSE
1581,9,4 Star,2022,Ohio St.,OFFENSE
1582,1,4 Star,2022,Ohio St.,SPECIAL
1583,2,5 Star,2022,Ohio St.,DEFENSE
1604,9,3 Star,2022,Oklahoma,DEFENSE
1605,3,3 Star,2022,Oklahoma,OFFENSE
1606,2,3 Star,2022,Oklahoma,SPECIAL
1607,8,4 Star,2022,Oklahoma,DEFENSE
1608,10,4 Star,2022,Oklahoma,OFFENSE
1609,1,4 Star,2022,Oklahoma,SPECIAL
1625,9,3 Star,2022,Oklahoma St.,DEFENSE
1626,8,3 Star,2022,Oklahoma St.,OFFENSE
1627,5,4 Star,2022,Oklahoma St.,OFFENSE
1628,1,4 Star,2022,Oklahoma St.,SPECIAL
1646,5,3 Star,2022,Old Dominion,DEFENSE
1647,9,3 Star,2022,Old Dominion,OFFENSE
1648,1,3 Star,2022,Old Dominion,SPECIAL
1666,5,3 Star,2022,Ole Miss,DEFENSE
1667,10,3 Star,2022,Ole Miss,OFFENSE
1668,1,3 Star,2022,Ole Miss,SPECIAL
1669,8,4 Star,2022,Ole Miss,DEFENSE
1670,7,4 Star,2022,Ole Miss,OFFENSE
1671,1,5 Star,2022,Ole Miss,OFFENSE
1689,7,3 Star,2022,Oregon,DEFENSE
1690,5,3 Star,2022,Oregon,OFFENSE
1691,3,3 Star,2022,Oregon,SPECIAL
1692,6,4 Star,2022,Oregon,DEFENSE
1693,4,4 Star,2022,Oregon,OFFENSE
1694,1,5 Star,2022,Oregon,OFFENSE
1711,7,3 Star,2022,Oregon St.,DEFENSE
1712,9,3 Star,2022,Oregon St.,OFFENSE
1713,1,3 Star,2022,Oregon St.,SPECIAL
1729,3,3 Star,2022,Penn St.,DEFENSE
1730,6,3 Star,2022,Penn St.,OFFENSE
1731,1,3 Star,2022,Penn St.,SPECIAL
1732,7,4 Star,2022,Penn St.,DEFENSE
1733,7,4 Star,2022,Penn St.,OFFENSE
1734,1,4 Star,2022,Penn St.,SPECIAL
1735,1,5 Star,2022,Penn St.,DEFENSE
1736,2,5 Star,2022,Penn St.,OFFENSE
1750,6,3 Star,2022,Pittsburgh,DEFENSE
1751,7,3 Star,2022,Pittsburgh,OFFENSE
1752,2,3 Star,2022,Pittsburgh,SPECIAL
1753,2,4 Star,2022,Pittsburgh,OFFENSE
1772,1,2 Star,2022,Purdue,DEFENSE
1773,7,3 Star,2022,Purdue,DEFENSE
1774,13,3 Star,2022,Purdue,OFFENSE
1775,2,3 Star,2022,Purdue,SPECIAL
1776,2,4 Star,2022,Purdue,DEFENSE
1777,2,4 Star,2022,Purdue,OFFENSE
1793,1,2 Star,2022,Rice,OFFENSE
1794,6,3 Star,2022,Rice,DEFENSE
1795,6,3 Star,2022,Rice,OFFENSE
1796,1,3 Star,2022,Rice,SPECIAL
1812,6,3 Star,2022,Rutgers,DEFENSE
1813,13,3 Star,2022,Rutgers,OFFENSE
1814,2,4 Star,2022,Rutgers,DEFENSE
1815,4,4 Star,2022,Rutgers,OFFENSE
1832,9,3 Star,2022,SMU,DEFENSE
1833,10,3 Star,2022,SMU,OFFENSE
1834,2,4 Star,2022,SMU,OFFENSE
1855,6,3 Star,2022,San Diego St.,DEFENSE
1856,12,3 Star,2022,San Diego St.,OFFENSE
1857,2,3 Star,2022,San Diego St.,SPECIAL
1875,1,2 Star,2022,San Jose St.,DEFENSE
1876,1,2 Star,2022,San Jose St.,OFFENSE
1877,7,3 Star,2022,San Jose St.,DEFENSE
1878,11,3 Star,2022,San Jose St.,OFFENSE
1879,2,3 Star,2022,San Jose St.,SPECIAL
1896,1,2 Star,2022,South Alabama,OFFENSE
1897,11,3 Star,2022,South Alabama,DEFENSE
1898,10,3 Star,2022,South Alabama,OFFENSE
1918,12,3 Star,2022,South Carolina,DEFENSE
1919,10,3 Star,2022,South Carolina,OFFENSE
1920,1,3 Star,2022,South Carolina,SPECIAL
1921,3,4 Star,2022,South Carolina,DEFENSE
1922,5,4 Star,2022,South Carolina,OFFENSE
1936,15,3 Star,2022,Southern Miss.,DEFENSE
1937,13,3 Star,2022,Southern Miss.,OFFENSE
1957,7,3 Star,2022,Stanford,DEFENSE
1958,7,3 Star,2022,Stanford,OFFENSE
1959,1,3 Star,2022,Stanford,SPECIAL
1960,4,4 Star,2022,Stanford,DEFENSE
1961,4,4 Star,2022,Stanford,OFFENSE
1972,12,3 Star,2022,Syracuse,DEFENSE
1973,6,3 Star,2022,Syracuse,OFFENSE
1974,2,3 Star,2022,Syracuse,SPECIAL
1975,1,4 Star,2022,Syracuse,OFFENSE
1993,14,3 Star,2022,TCU,DEFENSE
1994,6,3 Star,2022,TCU,OFFENSE
1995,1,4 Star,2022,TCU,DEFENSE
1996,5,4 Star,2022,TCU,OFFENSE
2010,2,2 Star,2022,Temple,OFFENSE
2011,9,3 Star,2022,Temple,DEFENSE
2012,6,3 Star,2022,Temple,OFFENSE
2013,1,3 Star,2022,Temple,SPECIAL
2035,10,3 Star,2022,Tennessee,DEFENSE
2036,10,3 Star,2022,Tennessee,OFFENSE
2037,3,4 Star,2022,Tennessee,DEFENSE
2038,5,4 Star,2022,Tennessee,OFFENSE
2060,1,2 Star,2022,Texas,SPECIAL
2061,2,3 Star,2022,Texas,DEFENSE
2062,1,3 Star,2022,Texas,OFFENSE
2063,3,3 Star,2022,Texas,SPECIAL
2064,13,4 Star,2022,Texas,DEFENSE
2065,10,4 Star,2022,Texas,OFFENSE
2066,3,5 Star,2022,Texas,OFFENSE
2086,2,3 Star,2022,Texas A&M,DEFENSE
2087,1,3 Star,2022,Texas A&M,OFFENSE
2088,1,3 Star,2022,Texas A&M,SPECIAL
2089,11,4 Star,2022,Texas A&M,DEFENSE
2090,9,4 Star,2022,Texas A&M,OFFENSE
2091,5,5 Star,2022,Texas A&M,DEFENSE
2092,3,5 Star,2022,Texas A&M,OFFENSE
2108,3,2 Star,2022,Texas St.,DEFENSE
2109,1,2 Star,2022,Texas St.,OFFENSE
2110,2,3 Star,2022,Texas St.,DEFENSE
2111,7,3 Star,2022,Texas St.,OFFENSE
2128,14,3 Star,2022,Texas Tech,DEFENSE
2129,13,3 Star,2022,Texas Tech,OFFENSE
2130,2,3 Star,2022,Texas Tech,SPECIAL
2131,1,4 Star,2022,Texas Tech,OFFENSE
2132,1,4 Star,2022,Texas Tech,SPECIAL
2148,1,2 Star,2022,Toledo,DEFENSE
2149,8,3 Star,2022,Toledo,DEFENSE
2150,6,3 Star,2022,Toledo,OFFENSE
2151,4,3 Star,2022,Toledo,SPECIAL
2169,2,2 Star,2022,Troy,DEFENSE
2170,5,3 Star,2022,Troy,OFFENSE
2171,1,3 Star,2022,Troy,SPECIAL
2187,11,3 Star,2022,Tulane,DEFENSE
2188,11,3 Star,2022,Tulane,OFFENSE
2189,1,3 Star,2022,Tulane,SPECIAL
2190,1,4 Star,2022,Tulane,DEFENSE
2205,1,2 Star,2022,Tulsa,DEFENSE
2206,2,2 Star,2022,Tulsa,OFFENSE
2207,3,3 Star,2022,Tulsa,DEFENSE
2208,6,3 Star,2022,Tulsa,OFFENSE
2221,1,2 Star,2022,UAB,DEFENSE
2222,1,2 Star,2022,UAB,OFFENSE
2223,6,3 Star,2022,UAB,DEFENSE
2224,10,3 Star,2022,UAB,OFFENSE
2225,1,3 Star,2022,UAB,SPECIAL
2238,1,2 Star,2022,UCF,DEFENSE
2239,8,3 Star,2022,UCF,DEFENSE
2240,7,3 Star,2022,UCF,OFFENSE
2241,2,3 Star,2022,UCF,SPECIAL
2242,3,4 Star,2022,UCF,DEFENSE
2243,4,4 Star,2022,UCF,OFFENSE
2262,6,3 Star,2022,UCLA,DEFENSE
2263,4,3 Star,2022,UCLA,OFFENSE
2264,5,4 Star,2022,UCLA,DEFENSE
2265,7,4 Star,2022,UCLA,OFFENSE
2266,1,4 Star,2022,UCLA,SPECIAL
2285,1,2 Star,2022,UNLV,DEFENSE
2286,6,3 Star,2022,UNLV,DEFENSE
2287,8,3 Star,2022,UNLV,OFFENSE
2288,1,3 Star,2022,UNLV,SPECIAL
2304,6,3 Star,2022,Southern California,DEFENSE
2305,2,3 Star,2022,Southern California,OFFENSE
2306,1,3 Star,2022,Southern California,SPECIAL
2307,6,4 Star,2022,Southern California,DEFENSE
2308,6,4 Star,2022,Southern California,OFFENSE
2309,1,5 Star,2022,Southern California,DEFENSE
2310,1,5 Star,2022,Southern California,OFFENSE
2322,1,2 Star,2022,South Fla.,DEFENSE
2323,13,3 Star,2022,South Fla.,DEFENSE
2324,12,3 Star,2022,South Fla.,OFFENSE
2341,1,2 Star,2022,UTEP,DEFENSE
2342,1,2 Star,2022,UTEP,OFFENSE
2343,1,2 Star,2022,UTEP,SPECIAL
2344,1,3 Star,2022,UTEP,DEFENSE
2345,5,3 Star,2022,UTEP,OFFENSE
2360,9,3 Star,2022,UTSA,DEFENSE
2361,10,3 Star,2022,UTSA,OFFENSE
2362,1,3 Star,2022,UTSA,SPECIAL
2381,7,3 Star,2022,Utah,DEFENSE
2382,8,3 Star,2022,Utah,OFFENSE
2383,2,3 Star,2022,Utah,SPECIAL
2384,3,4 Star,2022,Utah,DEFENSE
2385,2,4 Star,2022,Utah,OFFENSE
2402,1,2 Star,2022,Utah St.,DEFENSE
2403,10,3 Star,2022,Utah St.,DEFENSE
2404,12,3 Star,2022,Utah St.,OFFENSE
2405,3,3 Star,2022,Utah St.,SPECIAL
